2025-07-23 18:32:54.688 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.789 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.888 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:54.992 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.099 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.197 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.310 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.313 | INFO     | src.sync_manager:start_continuous_sync:237 - Starting continuous sync with 300s interval
2025-07-23 18:32:55.313 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
2025-07-23 18:32:55.313 | INFO     | src.sync_manager:sync_fsm_data:29 - Starting FSM data sync...
